NUMERO;CONTEUDO
44;A definição, em ato regulamentar, de grau mínimo de disacusia, não exclui, por si só, a concessão do benefício previdenciário.
45;No reexame necessário, é defeso, ao tribunal, agravar a condenação imposta à Fazenda Pública.
46;Na execução por carta, os embargos do devedor serão decididos no juízo deprecante, salvo se versarem unicamente vícios ou defeitos da penhora, avaliação ou alienação.
47;Compete a Justiça Militar processar e julgar crime cometido por militar contra civil, com emprego de arma pertencente a corporação, mesmo não estando em serviço.
48;Compete ao juízo do local da obtenção da vantagem ilícita processar e julgar crime de estelionato cometido mediante falsificação de cheque.
49;Na exportação de café em grão, não se inclui na base de cálculo do ICM a quota de contribuição, a que e refere o art. 2. do Decreto-lei 2.295, de 21.11.86.
50;O adicional de tarifa portuária incide apenas nas operações realizadas com mercadorias importadas ou exportadas, objeto do comércio de navegação de longo curso.
51;"A punição do intermediador, no jogo do bicho, independe da identificação do ""apostador"" ou do ""banqueiro""."
52;Encerrada a instrução criminal, fica superada a alegação de constrangimento por excesso de prazo.
53;Compete a Justiça Comum Estadual processar e julgar civil acusado de prática de crime contra instituições militares estaduais.
54;Os juros moratórios fluem a partir do evento danoso, em caso de responsabilidade extracontratual.
55;Tribunal Regional Federal não é competente para julgar recurso de decisão proferida por juiz estadual não investido de jurisdição federal.
56;Na desapropriação para instituir servidão administrativa são devidos os juros compensatórios pela limitação de uso da propriedade.
57;Compete à Justiça Comum Estadual processar e julgar ação de cumprimento fundada em acordo ou convenção coletiva não homologados pela Justiça do Trabalho.
58;Proposta a execução fiscal, a posterior mudança de domicílio do executado não desloca a competência já fixada.
58;Proposta a execução fiscal, a posterior mudança de domicílio do executado não desloca a competência já fixada.
59;Não há conflito de competência se já existe sentença com trânsito em julgado, proferida por um dos juízos conflitantes.
60;É nula a obrigação cambial assumida por procurador do mutuário vinculado ao mutuante, no exclusivo interesse deste.
61;"“CANCELADA"""
62;Compete a Justiça Estadual processar e julgar o crime de falsa anotação na carteira de trabalho e previdência social, atribuído a empresa privada.
63;São devidos direitos autorais pela retransmissão radiofônica de músicas em estabelecimentos comerciais.
64;Não constitui constrangimento ilegal o excesso de prazo na instrução, provocado pela defesa.
65;O cancelamento, previsto no art. 29 do decreto-lei 2.303, de 21.11.86, não alcança os débitos previdenciários.
66;Compete à Justiça Federal processar e julgar execução fiscal promovida por conselho de fiscalização profissional.
66;Compete à Justiça Federal processar e julgar execução fiscal promovida por conselho de fiscalização profissional.
67;Na desapropriação, cabe a atualização monetária, ainda que por mais de uma vez, independente do decurso de prazo superior a um ano entre o cálculo e o efetivo pagamento da indenização.
68;“CANCELADA”
69;Na desapropriação direta, os juros compensatórios são devidos desde a antecipada imissão na posse e, na desapropriação indireta, a partir da efetiva ocupação do imóvel.
70;Os juros moratórios, na desapropriação direta ou indireta, contam-se desde o trânsito em julgado da sentença.
71;O bacalhau importado de país signatário do GATT é isento do ICM.
72;A comprovação da mora é imprescindível à busca e apreensão do bem alienado fiduciariamente.
73;A utilização de papel moeda grosseiramente falsificado configura, em tese, o crime de estelionato, da competência da Justiça Estadual.
74;Para efeitos penais, o reconhecimento da menoridade do réu requer prova por documento hábil.
75;Compete a Justiça Comum Estadual processar e julgar o policial militar por crime de promover ou facilitar a fuga de preso de estabelecimento penal.
76;A falta de registro do compromisso de compra e venda de imóvel não dispensa a prévia interpelação para constituir em mora o devedor.
77;A Caixa Economica Federal é parte ilegítima para figurar no polo passivo das ações relativas as contribuições para o fundo PIS/PASEP.
78;Compete a Justiça Militar processar e julgar policial de corporação estadual, ainda que o delito tenha sido praticado em outra unidade federativa.
79;Os bancos comerciais não estão sujeitos a registro nos Conselhos Regionais de Economia.
80;A taxa de melhoramento dos portos não se inclui na base de cálculo do ICMS.
81;Não se concede fiança quando, em concurso material, a soma das penas mínimas cominadas for superior a dois anos de reclusão.
82;Compete à Justiça Federal, excluídas as reclamações trabalhistas, processar e julgar os feitos relativos à movimentação do FGTS.
83;Não se conhece do recurso especial pela divergência, quando a orientação do tribunal se firmou no mesmo sentido da decisão recorrida.
84;É admissível a oposição de embargos de terceiro fundados em alegação de posse advinda do compromisso de compra e venda de imóvel, ainda que desprovido do registro.
85;Nas relações jurídicas de trato sucessivo em que a Fazenda Pública figure como devedora, quando não tiver sido negado o próprio direito reclamado, a prescrição atinge apenas as prestações vencidas antes do quinquênio anterior a propositura da ação.
86;Cabe recurso especial contra acórdão proferido no julgamento de agravo de instrumento.
87;A isenção do ICMS relativa a rações balanceadas para animais abrange o concentrado e o suplemento.
88;São admissíveis embargos infringentes em processo falimentar.
89;A ação acidentária prescinde do exaurimento da via administrativa.
90;Compete a Justiça Estadual Militar processar e julgar o policial militar pela prática do crime militar, e a comum pela prática do crime comum simultâneo aquele.
91;“CANCELADA”
92;A terceiro de boa-fé não é oponível a alienação fiduciária não anotada no Certificado de Registro do veículo automotor.
93;A legislação sobre cédulas de crédito rural, comercial e industrial admite o pacto de capitalização de juros.
94;“CANCELADA”
95;A redução da alíquota do imposto sobre produtos industrializados ou do imposto de importação não implica redução do ICMS.
96;O crime de extorsão consuma-se independentemente da obtenção da vantagem indevida.
97;ompete à Justiça do Trabalho processar e julgar reclamação de servidor público relativamente a vantagens trabalhistas anteriores à instituição do regime jurídico único.
98;Embargos de declaração manifestados com notório propósito de prequestionamento não tem caráter protelatório.
99;O Ministério Público tem legitimidade para recorrer no processo em que oficiou como fiscal da lei, ainda que não haja recurso da parte.
100;É devido o adicional ao frete para renovação da marinha mercante na importação sob o regime de benefícios fiscais a exportação (BEFIEX).
101;A ação de indenização do segurado em grupo contra a seguradora prescreve em um ano.
102;A incidência dos juros moratórios sobre os compensatórios, nas ações expropriatórias, não constitui anatocismo vedado em lei.
103;Incluem-se entre os imóveis funcionais que podem ser vendidos os administrados pelas Forças Armadas e ocupados pelos servidores civis.
104;Compete a Justiça Estadual o processo e julgamento dos crimes de falsificação e uso de documento falso relativo a estabelecimento particular de ensino.
105;Na ação de mandado de segurança não se admite condenação em honorários advocatícios.
106;Proposta a ação no prazo fixado para o seu exercício, a demora na citação, por motivos inerentes ao mecanismo da justiça, não justifica o acolhimento da arguição de prescrição ou decadência.
107;Compete à Justiça Comum Estadual processar e julgar crime de estelionato praticado mediante falsificação das guias de recolhimento das contribuições previdenciárias, quando não ocorrente lesão à autarquia federal.
108;A aplicação de medidas socio-educativas ao adolescente, pela prática de ato infracional, é da competência exclusiva do juiz.
109;O reconhecimento do direito a indenização, por falta de mercadoria transportada via marítima, independe de vistoria.
110;A isenção do pagamento de honorários advocatícios, nas ações acidentárias, é restrita ao segurado.
111;Os honorários advocatícios, nas ações previdenciárias, não incidem sobre as prestações vencidas após a sentença.
112;O depósito somente suspende a exigibilidade do crédito tributário se for integral e em dinheiro.
113;Os juros compensatórios, na desapropriação direta, incidem a partir da imissão na posse, calculados sobre o valor da indenização, corrigido monetariamente.
114;Os juros compensatórios, na desapropriação indireta, incidem a partir da ocupação, calculados sobre o valor da indenização, corrigido monetariamente.
115;Na instância especial é inexistente recurso interposto por advogado sem procuração nos autos.
116;A Fazenda Pública e o Ministério Público tem prazo em dobro para interpor agravo regimental no Superior Tribunal de Justiça.
117;A inobservância do prazo de 48 horas, entre a publicação de pauta e o julgamento sem a presença das partes, acarreta nulidade.
118;O agravo de instrumento é o recurso cabível da decisão que homologa a atualização do cálculo da liquidação.
119;A ação de desapropriação indireta prescreve em vinte anos.
120;O oficial de farmácia, inscrito no Conselho Regional de Farmácia, pode ser responsável técnico por drogaria.
121;Na execução fiscal o devedor deverá ser intimado, pessoalmente, do dia e hora da realização do leilão.
121;Na execução fiscal o devedor deverá ser intimado, pessoalmente, do dia e hora da realização do leilão.
122;"ompete a justiça federal o processo e julgamento unificado dos crimes conexos de competência federal e estadual, não se aplicando a regra do art. 78, II, ""a"", do Código de Processo Penal."
123;A decisão que admite, ou não, o recurso especial deve ser fundamentada, com exame dos seus pressupostos gerais e constitucionais.
124;A taxa de melhoramento dos portos tem base de cálculo diversa do imposto de importação, sendo legítima a sua cobrança sobre a importação de mercadorias de países signatários do GATT, da ALALC ou ALADI.
125;O pagamento de férias não gozadas por necessidade do serviço não está sujeito a incidência do Imposto de Renda.
126;É inadmissível recurso especial, quando o acórdão recorrido assenta em fundamentos constitucional e infraconstitucional, qualquer deles suficiente, por si só, para mantê-lo, e a parte vencida não manifesta recurso extraordinário.
127;É ilegal condicionar a renovação da licença de veículo ao pagamento de multa, da qual o infrator não foi notificado.
128;Na execução fiscal haverá segundo leilão, se no primeiro não houver lanço superior a avaliação.
129;O exportador adquire o direito de transferência de crédito do ICMS quando realiza a exportação do produto e não ao estocar a matéria-prima.
130;A empresa responde, perante o cliente, pela reparação de dano ou furto de veículo ocorridos em seu estacionamento.
131;Nas ações de desapropriação incluem-se no cálculo da verba advocatícia as parcelas relativas aos juros compensatórios e moratórios, devidamente corrigidas.
132;A ausência de registro da transferência não implica a responsabilidade do antigo proprietário por dano resultante de acidente que envolva o veículo alienado.
133;A restituição da importância adiantada, a conta de contrato de câmbio, independe de ter sido a antecipação efetuada nos quinze dias anteriores ao requerimento da concordata.
134;Embora intimado da penhora em imóvel do casal, o cônjuge do executado pode opor embargos de terceiro para defesa de sua meação.
135;O ICMS não incide na gravação e distribuição de filmes e videoteipes.
136;O pagamento de licença-prêmio não gozada por necessidade do serviço não está sujeito ao Imposto de Renda.
137;Compete à justiça comum estadual processar e julgar ação de servidor público municipal, pleiteando direitos relativos ao vínculo estatutário.
138;O ISS incide na operação de arrendamento mercantil de coisas móveis.
139;Cabe à Procuradoria da Fazenda Nacional propor execução fiscal para cobrança de crédito relativo ao ITR.
139;Cabe à Procuradoria da Fazenda Nacional propor execução fiscal para cobrança de crédito relativo ao ITR.
140;Compete a Justiça Comum Estadual processar e julgar crime em que o indígena figure como autor ou vítima.
141;Os honorários de advogado em desapropriação direta são calculados sobre a diferença entre a indenização e a oferta, corrigidas monetariamente.
142;“CANCELADA”
143;Prescreve em cinco anos a ação de perdas e danos pelo uso de marca comercial.
144;Os créditos de natureza alimentícia gozam de preferência, desvinculados os precatórios da ordem cronológica dos créditos de natureza diversa.
145;No transporte desinteressado, de simples cortesia, o transportador só será civilmente responsável por danos causados ao transportado quando incorrer em dolo ou culpa grave.
146;O segurado, vítima de novo infortúnio, faz jus a um único benefício somado ao salário de contribuição vigente no dia do acidente.
147;Compete a Justiça Federal processar e julgar os crimes praticados contra funcionário público federal, quando relacionados com o exercício da função.
148;Os débitos relativos a benefício previdenciário, vencidos e cobrados em juízo após a vigência da lei n. 6.899/81, devem ser corrigidos monetariamente na forma prevista nesse diploma legal.
149;A prova exclusivamente testemunhal não basta à comprovação da atividade rurícola, para efeito da obtenção de beneficio previdenciário.
150;Compete à Justiça Federal decidir sobre a existência de interesse jurídico que justifique a presença, no processo, da união, suas autarquias ou empresas públicas.
151;A competência para o processo e julgamento por crime de contrabando ou descaminho define-se pela prevenção do Juízo Federal do lugar da apreensão dos bens.
152;“CANCELADA”
153;A desistência da execução fiscal, após o oferecimento dos embargos, não exime o exequente dos encargos da sucumbência.
153;A desistência da execução fiscal, após o oferecimento dos embargos, não exime o exequente dos encargos da sucumbência.
154;Os optantes pelo FGTS, nos termos da lei n. 5.958, de 1973, tem direito a taxa progressiva dos juros, na forma do art. 4. da Lei n. 5.107, de 1966.
155;O ICMS incide na importação de aeronave, por pessoa física, para uso próprio.
156;A prestação de serviço de composição gráfica, personalizada e sob encomenda, ainda que envolva fornecimento de mercadorias, está sujeita, apenas, ao ISS.
157;“CANCELADA”
158;Não se presta a justificar embargos de divergência o dissídio com acórdão de turma ou seção que não tenha mais competência para a matéria neles versada.
159;O benefício acidentário, no caso de contribuinte que perceba remuneração variável, deve ser calculado com base na media aritmética dos últimos doze meses de contribuição.
160;É defeso, ao município, atualizar o IPTU, mediante decreto, em percentual superior ao índice oficial de correção monetária.
161;É da competência da justiça estadual autorizar o levantamento dos valores relativos ao PIS/PASEP e FGTS, em decorrência do falecimento do titular da conta.
162;Na repetição de indébito tributário, a correção monetária incide a partir do pagamento indevido.
163;O fornecimento de mercadorias com a simultânea prestação de serviços em bares, restaurantes e estabelecimentos similares constitui fato gerador do ICMS a incidir sobre o valor total da operação.
164;O prefeito municipal, após a extinção do mandato, continua sujeito a processo por crime previsto no art. 1. do Decreto-lei n. 201, de 27/02/67.
165;Compete à justiça federal processar e julgar crime de falso testemunho cometido no processo trabalhista.
166;Não constitui fato gerador do ICMS o simples deslocamento de mercadoria de um para outro estabelecimento do mesmo contribuinte.
167;O fornecimento de concreto, por empreitada, para construção civil, preparado no trajeto até a obra em betoneiras acopladas a caminhões, e prestação de serviço, sujeitando-se apenas a incidência do ISS.
168;Não cabem embargos de divergência, quando a jurisprudência do tribunal se firmou no mesmo sentido do acórdão embargado.
169;São inadmissíveis embargos infringentes no processo de mandado de segurança.
170;Compete ao juízo onde primeiro for intentada a ação envolvendo acumulação de pedidos, trabalhista e estatutário, decidi-la nos limites da sua jurisdição, sem prejuízo do ajuizamento de nova causa, com o pedido remanescente, no juízo próprio.
171;Cominadas cumulativamente, em lei especial, penas privativa de liberdade e pecuniária, é defeso a substituição da prisão por multa.
172;Compete a Justiça Comum processar e julgar militar por crime de abuso de autoridade, ainda que praticado em serviço.
173;Compete à justiça federal processar e julgar o pedido de reintegração em cargo público federal, ainda que o servidor tenha sido dispensado antes da instituição do regime jurídico único.
174;“CANCELADA”
175;Descabe o depósito prévio nas ações rescisórias propostas pelo INSS.
176;É nula a cláusula contratual que sujeita o devedor a taxa de juros divulgada pela ANBID/CETIP.
177;O Superior Tribunal de Justiça é incompetente para processar e julgar, originariamente, mandado de segurança contra ato de órgão colegiado presidido por ministro de estado.
178;O INSS não goza de isenção do pagamento de custas e emolumentos, nas ações acidentárias e de benefícios, propostas na justiça estadual.
179;O estabelecimento de crédito que recebe dinheiro, em depósito judicial, responde pelo pagamento da correção monetária relativa aos valores recolhidos.
180;Na lide trabalhista, compete ao Tribunal Regional do Trabalho dirimir conflito de competência verificado, na respectiva região, entre juiz estadual e junta de conciliação e julgamento.
181;É admissível ação declaratória, visando a obter certeza quanto à exata interpretação de cláusula contratual.
182;É inviável o agravo do art. 545 do CPC que deixa de atacar especificamente os fundamentos da decisão agravada.
183;“CANCELADA”
184;A microempresa de representação comercial é isenta do Imposto de Renda.
185;Nos depósitos judiciais, não incide o Imposto sobre Operações Financeiras.
186;Nas indenizações por ato ilícito, os juros compostos somente são devidos por aquele que praticou o crime.
187;É deserto o recurso interposto para o Superior Tribunal de Justiça, quando o recorrente não recolhe, na origem, a importância das despesas de remessa e retorno dos autos.
188;Os juros moratórios, na repetição do indébito tributário, são devidos a partir do trânsito em julgado da sentença.
189;É desnecessária a intervenção do Ministério Público nas execuções fiscais.
189;É desnecessária a intervenção do Ministério Público nas execuções fiscais.
190;Na execução fiscal, processada perante a Justiça Estadual, cumpre à Fazenda Pública antecipar o numerário destinado ao custeio das despesas com o transporte dos oficiais de justiça.
190;Na execução fiscal, processada perante a Justiça Estadual, cumpre à Fazenda Pública antecipar o numerário destinado ao custeio das despesas com o transporte dos oficiais de justiça.
191;A pronúncia é causa interruptiva da prescrição, ainda que o Tribunal do Júri venha a desclassificar o crime.
192;Compete ao Juízo das Execuções Penais do Estado a execução das penas impostas a sentenciados pela Justiça Federal, Militar ou Eleitoral, quando recolhidos a estabelecimentos sujeitos a Administração Estadual.
193;O direito de uso de linha telefônica pode ser adquirido por usucapião.
194;Prescreve em vinte anos a ação para obter, do construtor, indenização por defeitos da obra.
195;Em embargos de terceiro não se anula ato jurídico, por fraude contra credores.
196;Ao executado que, citado por edital ou por hora certa, permanecer revel, será nomeado curador especial, com legitimidade para apresentação de embargos.
197;O divórcio direto pode ser concedido sem que haja prévia partilha dos bens.
198;Na importação de veículo por pessoa física, destinado a uso próprio, incide o ICMS.
199;Na execução hipotecária de crédito vinculado ao sistema financeiro de habitação, nos termos da Lei n. 5.741/71, a petição inicial deve ser instruída com, pelo menos, dois avisos de cobrança.
200;O juízo federal competente para processar e julgar acusado de crime de uso de passaporte falso é o do lugar onde o delito se consumou.
201;Os honorários advocatícios não podem ser fixados em salários-mínimos.
202;A impetração de segurança por terceiro, contra ato judicial, não se condiciona à interposição de recurso.
203;Não cabe recurso especial contra decisão proferida por órgão de segundo grau dos Juizados Especiais.
204;Os juros de mora nas ações relativas a benefícios previdenciários incidem a partir da citação válida.
205;A Lei 8.009/90 aplica-se à penhora realizada antes de sua vigência.
206;A existência de vara privativa, instituída por lei estadual, não altera a competência territorial resultante das leis de processo.
207;É inadmissível recurso especial quando cabíveis embargos infringentes contra o acórdão proferido no tribunal de origem.
208;Compete a Justiça Federal processar e julgar prefeito municipal por desvio de verba sujeita a prestação de contas perante órgão federal.
209;Compete à Justiça Estadual processar e julgar prefeito por desvio de verba transferida e incorporada ao patrimônio municipal.
210;A ação de cobrança das contribuições para o FGTS prescreve em trinta (30) anos.
211;Inadmissível recurso especial quanto à questão que, a despeito da oposição de embargos declaratórios, não foi apreciada pelo Tribunal a quo.
212;A compensação de créditos tributários não pode ser deferida por medida liminar.
212;A compensação de créditos tributários não pode ser deferida por medida liminar.
213;O mandado de segurança constitui ação adequada para a declaração do direito à compensação tributária.
213;O mandado de segurança constitui ação adequada para a declaração do direito à compensação tributária.
214;O fiador na locação não responde por obrigações resultantes de aditamento ao qual não anuiu.
215;A indenização recebida pela adesão a programa de incentivo à demissão voluntária não está sujeita à incidência do imposto de renda.
216;A tempestividade de recurso interposto no Superior Tribunal de Justiça é aferida pelo registro no protocolo da secretaria e não pela data da entrega na agência do correio.
217;Não cabe agravo de decisão que indefere o pedido de suspensão de execução da liminar, ou da sentença em mandado de segurança.
218;Compete à Justiça dos Estados processar e julgar ação de servidor estadual decorrente de direitos e vantagens estatutárias no exercício de cargo em comissão.
219;Os créditos decorrentes de serviços prestados à massa falida, inclusive a remuneração do síndico, gozam dos privilégios próprios dos trabalhistas.
220;A reincidência não influi no prazo da prescrição da pretensão punitiva.
221;São civilmente responsáveis pelo ressarcimento de dano, decorrente de publicação pela imprensa, tanto o autor do escrito quanto o proprietário do veículo de divulgação.
222;Compete à Justiça Comum processar e julgar as ações relativas à contribuição sindical prevista no art. 578 da CLT.
223;A certidão de intimação do acórdão recorrido constitui peça obrigatória do instrumento de agravo.
224;Excluído do feito o ente federal, cuja presença levara o Juiz Estadual a declinar da competência, deve o Juiz Federal restituir os autos e não suscitar conflito.
225;Compete ao Tribunal Regional do Trabalho apreciar recurso contra sentença proferida por órgão de primeiro grau da Justiça Trabalhista, ainda que para declarar-lhe a nulidade em virtude de incompetência.
226;O Ministério Público tem legitimidade para recorrer na ação de acidente do trabalho, ainda que o segurado esteja assistido por advogado.
227;A pessoa jurídica pode sofrer dano moral.
228;É inadmissível o interdito proibitório para a proteção do direito autoral.
229;O pedido do pagamento de indenização à seguradora suspende o prazo de prescrição até que o segurado tenha ciência da decisão.
230;“CANCELADA”
231;A incidência da circunstância atenuante não pode conduzir à redução da pena abaixo do mínimo legal.
232;A Fazenda Pública, quando parte no processo, fica sujeita à exigência do depósito prévio dos honorários do perito.
233;O contrato de abertura de crédito, ainda que acompanhado de extrato de conta-corrente, não é título executivo.
234;A participação de membro do Ministério Público na fase investigatória criminal não acarreta o seu impedimento ou suspeição para o oferecimento da denúncia.
235;A conexão não determina a reunião dos processos, se um deles já foi julgado.
236;Não compete ao Superior Tribunal de Justiça dirimir conflitos de competência entre juízes trabalhistas vinculados a Tribunais Regionais do Trabalho diversos.
237;Nas operações com cartão de crédito, os encargos relativos ao financiamento não são considerados no cálculo do ICMS.
238;A avaliação da indenização devida ao proprietário do solo, em razão de alvará de pesquisa mineral, é processada no Juízo Estadual da situação do imóvel.
239;O direito à adjudicação compulsória não se condiciona ao registro do compromisso de compra e venda no cartório de imóveis.
240;A extinção do processo, por abandono da causa pelo autor, depende de requerimento do réu.
241;A reincidência penal não pode ser considerada como circunstância agravante e, simultaneamente, como circunstância judicial.
242;Cabe ação declaratória para reconhecimento de tempo de serviço para fins previdenciários.
243;O benefício da suspensão do processo não é aplicável em relação às infrações penais cometidas em concurso material, concurso formal ou continuidade delitiva, quando a pena mínima cominada, seja pelo somatório, seja pela incidência da majorante, ultrapassar o limite de um (01) ano.
244;Compete ao foro do local da recusa processar e julgar o crime de estelionato mediante cheque sem provisão de fundos.
245;A notificação destinada a comprovar a mora nas dívidas garantidas por alienação fiduciária dispensa a indicação do valor do débito.
246;O valor do seguro obrigatório deve ser deduzido da indenização judicialmente fixada.
247;O contrato de abertura de crédito em conta-corrente, acompanhado do demonstrativo de débito, constitui documento hábil para o ajuizamento da ação monitória.
248;Comprovada a prestação dos serviços, a duplicata não aceita, mas protestada, é título hábil para instruir pedido de falência.
249;A Caixa Econômica Federal tem legitimidade passiva para integrar processo em que se discute correção monetária do FGTS.
250;É legítima a cobrança de multa fiscal de empresa em regime de concordata.
251;A meação só responde pelo ato ilícito quando o credor, na execução fiscal, provar que o enriquecimento dele resultante aproveitou ao casal.
252;Os saldos das contas do FGTS, pela legislação infraconstitucional, são corrigidos em 42,72% (IPC) quanto às perdas de janeiro de 1989 e 44,80% (IPC) quanto às de abril de 1990, acolhidos pelo STJ os índices de 18, 02% (LBC) quanto as perdas de junho de 1987, de 5,38% (BTN) para maio de 1990 e 7,00%(TR) para fevereiro de 1991, de acordo com o entendimento do STF (RE 226.855-7-RS).
253;O art. 557 do CPC, que autoriza o relator a decidir o recurso, alcança o reexame necessário.
254;A decisão do Juízo Federal que exclui da relação processual ente federal não pode ser reexaminada no Juízo Estadual.
255;Cabem embargos infringentes contra acórdão, proferido por maioria, em agravo retido, quando se tratar de matéria de mérito.
256;“CANCELADA”
257;A falta de pagamento do prêmio do seguro obrigatório de Danos Pessoais Causados por Veículos Automotores de Vias Terrestres (DPVAT) não é motivo para a recusa do pagamento da indenização.
258;A nota promissória vinculada a contrato de abertura de crédito não goza de autonomia em razão da iliquidez do título que a originou.
259;A ação de prestação de contas pode ser proposta pelo titular de conta-corrente bancária.
260;A convenção de condomínio aprovada, ainda que sem registro, é eficaz para regular as relações entre os condôminos.
261;A cobrança de direitos autorais pela retransmissão radiofônica de músicas, em estabelecimentos hoteleiros, deve ser feita conforme a taxa média de utilização do equipamento, apurada em liquidação.
262;Incide o imposto de renda sobre o resultado das aplicações financeiras realizadas pelas cooperativas.
263;“CANCELADA”
264;É irrecorrível o ato judicial que apenas manda processar a concordata preventiva.
265;É necessária a oitiva do menor infrator antes de decretar-se a regressão da medida sócio-educativa.
266;O diploma ou habilitação legal para o exercício do cargo deve ser exigido na posse e não na inscrição para o concurso público.
267;A interposição de recurso, sem efeito suspensivo, contra decisão condenatória não obsta a expedição de mandado de prisão.
268;O fiador que não integrou a relação processual na ação de despejo não responde pela execução do julgado.
269;É admissível a adoção do regime prisional semi-aberto aos reincidentes condenados a pena igual ou inferior a quatro anos se favoráveis as circunstâncias judiciais.
270;O protesto pela preferência de crédito, apresentado por ente federal em execução que tramita na Justiça Estadual, não desloca a competência para a Justiça Federal.
271;A correção monetária dos depósitos judiciais independe de ação específica contra o banco depositário.
272;O trabalhador rural, na condição de segurado especial, sujeito à contribuição obrigatória sobre a produção rural comercializada, somente faz jus à aposentadoria por tempo de serviço, se recolher contribuições facultativas.
273;Intimada a defesa da expedição da carta precatória, torna-se desnecessária intimação da data da audiência no juízo deprecado.
274;O ISS incide sobre o valor dos serviços de assistência médica, incluindo-se neles as refeições, os medicamentos e as diárias hospitalares.
